Date,Service,InstanceType,Region,Cost,CPUUtilization,MemoryUtilization,NetworkIO,StorageUsed,RunningHours,Recommendation
2024-11-23,EC2,t3.micro,ap-southeast-1,3.77,35.37,33.03,69.12,94.46,381,optimal
2024-05-05,RDS,db.t3.small,ap-southeast-1,15.16,62.24,46.83,2.4,280.28,452,optimal
2024-12-12,EBS,gp2,ap-south-1,32.43,0.0,0.0,19.58,321.35,730,optimal
2024-01-16,EC2,t3.large,us-west-2,51.03,49.69,53.45,50.28,135.97,617,optimal
2024-11-04,EC2,m5.2xlarge,us-west-2,264.54,37.62,45.85,26.76,307.89,658,optimal
2024-08-02,RDS,db.r5.large,ap-south-1,130.64,49.32,46.15,26.12,374.06,542,optimal
2024-01-04,RDS,db.r5.large,eu-west-1,127.62,49.45,57.23,18.43,210.8,542,optimal
2024-03-20,RDS,db.t3.medium,us-east-1,30.18,47.31,55.76,17.98,458.97,447,optimal
2024-07-13,EC2,t3.2xlarge,eu-west-1,232.47,67.47,77.9,69.94,98.8,718,optimal
2024-05-15,EC2,m5.xlarge,ap-south-1,43.76,27.01,32.02,182.68,56.75,227,optimal
2024-07-12,EC2,m5.2xlarge,eu-west-1,171.58,37.53,44.26,60.5,27.59,470,optimal
2024-10-22,RDS,db.t3.micro,us-east-1,8.55,5.54,50.87,12.47,840.4,516,optimal
2024-05-28,EC2,t3.large,us-east-1,39.24,4.44,5.04,364.9,105.76,489,optimal
2024-05-22,Lambda,512MB,us-west-2,0.08,21.3,33.33,5.57,0.0,0,optimal
2024-07-08,S3,Standard,ap-southeast-1,36.48,0.0,0.0,44.69,1584.1,730,optimal
2024-05-16,EC2,c5.large,ap-southeast-1,24.26,51.56,57.77,73.37,47.44,275,optimal
2024-09-30,RDS,db.t3.small,eu-central-1,20.65,26.44,54.05,28.74,219.59,594,optimal
2024-05-18,EBS,gp3,ap-southeast-1,39.27,0.0,0.0,40.23,512.2,730,optimal
2024-01-29,RDS,db.t3.micro,eu-west-1,10.11,44.29,51.76,8.52,644.0,605,optimal
2024-05-17,EC2,t3.large,ap-south-1,34.21,9.16,13.29,38.94,87.36,422,optimal
2024-04-18,Lambda,1024MB,ap-southeast-1,0.18,32.47,22.45,2.26,0.0,0,reduce_memory
2024-08-22,RDS,db.t3.medium,us-west-2,36.47,31.88,27.1,12.75,364.39,526,optimal
2024-10-14,EBS,io1,ap-southeast-1,17.69,0.0,0.0,37.46,146.81,730,downgrade_to_gp3
2024-10-25,Lambda,512MB,us-west-2,0.09,55.55,11.21,9.46,0.0,0,optimal
2024-03-11,EBS,io2,us-east-1,48.21,0.0,0.0,72.09,371.18,730,optimal
2024-02-26,RDS,db.t3.small,ap-southeast-1,20.65,44.65,48.76,23.21,484.21,616,optimal
2024-11-01,EC2,m5.large,eu-central-1,69.7,39.3,32.0,98.1,263.39,710,optimal
2024-08-27,EBS,io1,ap-south-1,6.69,0.0,0.0,38.38,53.83,730,downgrade_to_gp3
2024-01-06,EC2,c5.xlarge,ap-south-1,64.92,8.46,11.64,16.57,32.76,373,downsize
2024-11-24,S3,Standard,eu-west-1,129.67,0.0,0.0,47.3,5720.02,730,intelligent_tiering
2024-08-10,RDS,db.r5.large,us-east-1,129.77,21.19,23.43,112.59,814.86,534,downsize
2024-09-13,RDS,db.r5.xlarge,us-east-1,344.16,57.82,53.3,38.81,624.81,720,reserved_instance
2024-06-01,EBS,gp3,us-west-2,32.9,0.0,0.0,35.2,395.29,730,optimal
2024-03-23,EBS,gp2,ap-south-1,32.61,0.0,0.0,19.7,315.23,730,optimal
2024-01-10,EC2,t3.2xlarge,eu-west-1,118.34,20.01,23.63,126.77,45.87,345,downsize
2024-01-30,RDS,db.r5.xlarge,us-east-1,208.81,60.72,13.06,22.6,469.3,443,optimal
2024-09-05,EC2,m5.2xlarge,us-west-2,87.18,37.06,35.75,277.75,144.35,231,optimal
2024-12-03,Lambda,256MB,eu-west-1,0.04,46.64,53.18,0.62,0.0,0,optimal
2024-09-27,EBS,io2,us-west-2,48.45,0.0,0.0,82.12,379.99,730,optimal
2024-12-19,RDS,db.t3.medium,eu-central-1,39.88,32.29,37.13,16.5,422.06,591,optimal
2024-08-12,EBS,io2,us-east-1,26.49,0.0,0.0,33.22,220.28,730,downgrade_to_gp3
2024-02-02,S3,Standard,ap-south-1,97.23,0.0,0.0,43.78,4319.99,730,optimal
2024-10-10,RDS,db.r5.xlarge,us-west-2,201.2,27.13,41.98,53.74,1103.46,403,optimal
2024-02-06,EC2,t3.large,us-east-1,11.07,16.24,26.01,40.03,54.08,132,terminate
2024-06-18,EC2,m5.2xlarge,us-west-2,142.67,3.78,11.2,219.61,152.81,385,downsize
2024-12-08,Lambda,256MB,ap-south-1,0.04,25.75,82.42,14.34,0.0,0,optimal
2024-03-08,EBS,io2,us-west-2,18.42,0.0,0.0,7.34,144.9,730,downgrade_to_gp3
2024-07-27,RDS,db.t3.micro,us-east-1,10.16,57.87,50.34,40.66,867.91,620,optimal
2024-06-30,Lambda,1024MB,eu-central-1,0.18,39.08,10.75,2.05,0.0,0,reduce_memory
2024-01-28,EC2,t3.micro,eu-central-1,4.71,37.45,45.42,110.66,78.41,447,optimal
2024-02-25,RDS,db.t3.small,us-west-2,21.86,41.21,20.97,152.76,401.02,674,optimal
2024-08-17,RDS,db.r5.large,us-west-2,131.74,44.61,55.27,145.07,474.33,542,optimal
2024-08-24,RDS,db.t3.micro,eu-central-1,11.29,62.37,51.19,18.37,135.23,681,optimal
2024-02-20,EC2,c5.xlarge,ap-south-1,18.61,31.99,30.72,35.62,46.5,115,terminate
2024-02-17,RDS,db.t3.small,eu-central-1,22.57,36.06,13.71,72.05,483.58,648,optimal
2024-09-03,RDS,db.r5.large,us-east-1,112.22,33.43,22.9,24.55,417.02,484,optimal
2024-07-13,EC2,m5.large,eu-west-1,55.96,25.0,25.49,40.38,100.68,565,downsize
2024-05-26,Lambda,1024MB,us-west-2,0.17,30.39,47.69,0.9,0.0,0,optimal
2024-04-07,S3,Standard,us-east-1,106.78,0.0,0.0,47.16,4808.64,730,optimal
2024-10-23,EBS,gp2,ap-southeast-1,99.09,0.0,0.0,6.64,1028.5,730,optimal
2024-01-26,EBS,io2,ap-south-1,59.9,0.0,0.0,20.55,467.06,730,downgrade_to_gp3
2024-09-28,RDS,db.t3.micro,ap-south-1,7.72,13.5,43.47,53.32,898.01,441,optimal
2024-04-05,EC2,c5.large,us-east-1,28.72,22.69,25.58,301.91,67.48,340,optimal
2024-07-25,EC2,c5.large,us-west-2,59.08,65.68,62.16,17.29,80.79,692,optimal
2024-10-31,EC2,c5.large,us-east-1,46.74,23.33,8.55,181.11,107.64,529,optimal
2024-12-02,EBS,io1,eu-west-1,67.43,0.0,0.0,22.82,526.62,730,downgrade_to_gp3
2024-06-09,RDS,db.t3.medium,eu-central-1,32.37,16.94,33.44,22.48,707.38,467,optimal
2024-12-09,S3,Intelligent-Tiering,eu-west-1,76.3,0.0,0.0,14.5,5864.67,730,optimal
2024-02-07,EC2,m5.xlarge,ap-south-1,135.4,2.94,5.74,29.75,70.47,676,downsize
2024-02-21,EC2,m5.2xlarge,us-west-2,242.92,23.0,25.24,100.55,36.15,618,downsize
2024-05-15,RDS,db.t3.medium,us-east-1,35.11,28.31,30.84,30.13,380.39,525,optimal
2024-07-08,S3,Standard,eu-central-1,127.1,0.0,0.0,21.26,5552.68,730,intelligent_tiering
2024-10-05,S3,Glacier,ap-southeast-1,3.1,0.0,0.0,30.11,776.31,730,optimal
2024-09-27,EC2,c5.xlarge,ap-south-1,72.45,40.38,30.21,121.33,67.54,406,optimal
2024-12-05,EC2,t3.medium,eu-west-1,8.65,15.35,16.84,96.78,73.13,218,optimal
2024-02-24,EBS,gp3,eu-west-1,75.25,0.0,0.0,12.14,944.98,730,optimal
2024-04-17,S3,Standard,ap-southeast-1,13.65,0.0,0.0,41.01,572.65,730,optimal
2024-11-20,S3,Glacier,eu-central-1,24.49,0.0,0.0,23.37,6179.02,730,optimal
2024-05-08,EC2,t3.small,ap-southeast-1,11.26,28.54,35.76,29.63,84.94,533,optimal
2024-05-21,EC2,t3.micro,eu-west-1,2.35,26.52,22.77,99.42,93.03,233,optimal
2024-11-22,S3,Standard,ap-southeast-1,109.64,0.0,0.0,4.47,4923.66,730,optimal
2024-08-14,EBS,io2,ap-south-1,26.97,0.0,0.0,63.34,219.24,730,delete_unused
2024-02-08,RDS,db.r5.xlarge,us-east-1,280.61,25.87,9.65,1.26,709.66,589,reserved_instance
